time,longitude,latitude,rainfall_rate_mm_hr,rainfall_30min_mm
2026-08-27,79.45,29.05,0.79999995,0.39999998
2026-08-27,79.45,29.15,2.6799998,1.3399999
2026-08-27,79.45,29.25,3.27,1.635
2026-08-27,79.45,29.349998,2.8,1.4
2026-08-27,79.45,29.449999,3.11,1.555
2026-08-27,79.45,29.55,2.18,1.09
2026-08-27,79.45,29.65,1.62,0.81
2026-08-27,79.45,29.75,1.22,0.61
2026-08-27,79.45,29.849998,0.81,0.405
2026-08-27,79.45,29.949999,0.39,0.195
2026-08-27,79.45,30.05,0.0,0.0
2026-08-27,79.45,30.15,0.0,0.0
2026-08-27,79.45,30.25,0.0,0.0
2026-08-27,79.45,30.349998,0.08,0.04
2026-08-27,79.45,30.449999,0.03,0.015
2026-08-27,79.45,30.55,0.0,0.0
2026-08-27,79.45,30.65,0.0,0.0
2026-08-27,79.45,30.75,0.0,0.0
2026-08-27,79.45,30.849998,0.0,0.0
2026-08-27,79.45,30.949999,0.0,0.0
2026-08-27,79.45,31.05,0.0,0.0
2026-08-27,79.45,31.15,0.0,0.0
2026-08-27,79.45,31.25,0.0,0.0
2026-08-27,79.45,31.349998,0.0,0.0
2026-08-27,79.45,31.449999,0.0,0.0
2026-08-27,79.549995,28.55,3.87,1.935
2026-08-27,79.549995,28.65,4.15,2.075
2026-08-27,79.549995,28.75,2.31,1.155
2026-08-27,79.549995,28.849998,0.34,0.17
2026-08-27,79.549995,28.949999,0.14,0.07
2026-08-27,79.549995,29.05,1.42,0.71
2026-08-27,79.549995,29.15,4.74,2.37
2026-08-27,79.549995,29.25,2.97,1.485
2026-08-27,79.549995,29.349998,1.76,0.88
2026-08-27,79.549995,29.449999,1.92,0.96
2026-08-27,79.549995,29.55,1.4,0.7
2026-08-27,79.549995,29.65,1.0699999,0.53499997
2026-08-27,79.549995,29.75,0.7,0.35
2026-08-27,79.549995,29.849998,0.32999998,0.16499999
2026-08-27,79.549995,29.949999,0.16,0.08
2026-08-27,79.549995,30.05,0.0,0.0
2026-08-27,79.549995,30.15,0.0,0.0
2026-08-27,79.549995,30.25,0.0,0.0
2026-08-27,79.549995,30.349998,0.0,0.0
2026-08-27,79.549995,30.449999,0.049999997,0.024999999
2026-08-27,79.549995,30.55,0.0,0.0
2026-08-27,79.549995,30.65,0.0,0.0
2026-08-27,79.549995,30.75,0.0,0.0
2026-08-27,79.549995,30.849998,0.0,0.0
2026-08-27,79.549995,30.949999,0.0,0.0
2026-08-27,79.549995,31.05,0.0,0.0
2026-08-27,79.549995,31.15,0.0,0.0
2026-08-27,79.549995,31.25,0.0,0.0
2026-08-27,79.549995,31.349998,0.0,0.0
2026-08-27,79.549995,31.449999,0.0,0.0
