station_id,station_name,station_type,latitude,longitude,observation_time,acquisition_time,temperature_c,temperature_min_c,temperature_max_c,relative_humidity_pct,wind_speed_kmh,wind_speed_ms,wind_direction_deg,pressure_hpa,dewpoint_c,rainfall_mm,rainfall_accum_period,data_source,status
46837E8C,NAINITAL,AWS,29.387,79.4521,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,15.6,20.1,20.7,21.0,8.7,2.42,331.0,,5.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
42146,NAINITAL,AWS,29.36,79.46,2026-03-13T04:07:23+00:00,2026-09-01T07:07:58.815949+00:00,17.5,17.0,18.2,21.0,9.07,2.52,235.0,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
UTNAF000,NAINITAL(JEOLIKOT)_KVK,AWS,29.3455,79.4844,2026-08-31T18:29:04+00:00,2026-09-01T07:07:58.815949+00:00,22.0,20.7,27.8,99.0,1.85,0.51,212.0,,0.0,12.0,recent_observation,IMD GeoServer (imd:aws_data_layer),RECENT
468012B6,NAITWAR,AWS,31.0701,78.1002,2026-03-13T04:08:17+00:00,2026-09-01T07:07:58.815949+00:00,6.4,,,36.0,12.22,3.4,49.0,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46843FB2,NARAYAN ASHRAM,AWS,29.9716,80.6562,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,5.2,4.0,4.5,15.0,12.59,3.5,50.0,,-7.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
4681F3BE,NARENDRA NAGAR,AWS,30.2128,78.3268,2026-03-13T04:08:18+00:00,2026-09-01T07:07:58.815949+00:00,18.7,27.4,27.8,20.0,15.93,4.42,54.0,,15.3,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
4681033A,NARSAN,AWS,29.7874,77.8568,2026-03-13T04:08:17+00:00,2026-09-01T07:07:58.815949+00:00,17.7,26.7,28.2,33.0,6.3,1.75,346.0,1008.5,12.8,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
468051BC,NAUGAON,AWS,30.7871,78.1386,2026-03-13T04:08:17+00:00,2026-09-01T07:07:58.815949+00:00,9.1,18.7,19.6,40.0,9.82,2.73,38.0,1080.3,16.2,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46858014,NEW TEHRI,AWS,30.3794,78.4364,2026-03-13T04:08:21+00:00,2026-09-01T07:07:58.815949+00:00,13.3,19.2,20.1,28.0,10.37,2.88,46.0,,7.9,1.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
468125D6,NIRANJANPUR_UKG,AWS,29.6983,78.1089,2026-03-13T04:08:06+00:00,2026-09-01T07:07:58.815949+00:00,18.2,0.0,0.0,30.0,6.3,1.75,20.0,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
468404FA,PANCHESHWAR,AWS,29.4468,80.243,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,11.3,25.8,26.8,20.0,8.52,2.37,10.0,931.0,11.1,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46821742,PANDUKESHWAR,AWS,30.6249,79.5558,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,-1.6,17.6,18.2,19.0,14.63,4.06,51.0,,3.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
VIPT,PANTNAGAR Airport,METAR,29.03,79.47,2026-09-01T00:00:00+00:00,2026-09-01T07:07:58.815949+00:00,26.0,,,100.0,11.11,3.09,50.0,1007.0,26.0,0.0,24h,IMD GeoServer (imd:metar_data_layer),RECENT
